,treatment,spike
0,NT,7213.0
1,NT,7860.0
2,NT,6963.0
3,HSase,1836.0
4,HSase,1865.0
5,HSase,1791.0
6,BT1624,8211.0
7,BT1624,7282.0
8,BT1624,7575.0
9,BT4656,6649.0
10,BT4656,6447.0
11,BT4656,6386.0
12,BT1596,8043.0
13,BT1596,7501.0
14,BT1596,7556.0
15,BT0756,6705.0
16,BT0756,6534.0
17,BT0756,6980.0
33,NT,7334.0
34,NT,7115.0
35,NT,6648.0
7,BT3177,7316.166666666664
8,BT3177,7902.166666666664
9,BT3177,6737.166666666664
13,BT4655,8878.166666666664
14,BT4655,8665.166666666664
15,BT4655,7086.166666666664
